name,Ontology,carbons,Unsaturations,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue,logP
SPB 18:0;O2,SPB,18,0,1.078048245,0.019877523,0.013986014,2.174585368,0.070599478,1,1.120740346,0.019877523,1.701637734
FA 20:4,FA,20,4,0.609069245,0.033203969,0.072105672,1.815368399,0.093913285,1,0.860262349,0.033203969,1.478810001
FA 19:4;O,FA,19,4,0.810414875,0.233764623,0.27116036,1.313089717,0.352339157,1,0.392965492,0.233764623,0.631221212
FA 20:3,FA,20,3,0.271381333,0.815328993,0.866511267,0.917012458,0.878593405,1,-0.124986762,0.815328993,0.088667114
FA 19:3;O,FA,19,3,0.885138092,0.105778692,0.189277389,1.682063515,0.197198285,1,0.750232183,0.105778692,0.975601808
FA 20:2,FA,20,2,0.867740833,0.031430001,0.020512821,1.81626705,0.090553568,1,0.860976341,0.031430001,1.50265561
FA 19:2;O,FA,19,2,0.275232893,0.896590862,0.778865579,1.035201232,0.930551665,1,0.04991124,0.896590862,0.047405692
FA 18:2;O2,FA,18,2,0.588468575,0.718659638,0.535819736,1.087867831,0.80312402,1,0.121503289,0.718659638,0.143476746
FA 18:1;O2,FA,18,1,0.902267033,0.045298648,0.020512821,0.574464302,0.116644019,1,-0.799710849,0.045298648,1.343914757
FA 18:0;O2,FA,18,0,0.315443522,0.372913438,0.335664336,0.826787732,0.492963646,1,-0.274411113,0.372913438,0.428391966
CAR 10:0,CAR,10,0,0.808090415,0.181482841,0.120590521,1.288167892,0.294709722,1,0.365320637,0.181482841,0.741164431
FA 20:5;O,FA,20,5,0.554792117,0.453006576,0.612587413,1.210195488,0.571363709,1,0.275240111,0.453006576,0.343895493
SPB 18:0;O3,SPB,18,0,0.584832313,0.501898225,0.955089355,1.200051479,0.614171417,1,0.263096295,0.501898225,0.29938434
FA 20:4;O,FA,20,4,0.839672589,0.064328729,0.093861694,1.839099658,0.144040416,1,0.878999659,0.064328729,1.191595027
NAE 18:4,NAE,18,4,1.152553866,0.10297101,0.093861694,1.681607188,0.194903781,1,0.749840741,0.10297101,0.987285025
FA 20:3;O,FA,20,3,0.625609672,0.361510168,0.535819736,1.267237717,0.483255063,1,0.341687181,0.361510168,0.441879483
NAGly 17:3,NAGly,17,3,1.098389354,0.022975219,0.04009324,15.27134137,0.07532459,1,3.932754882,0.022975219,1.638740347
NAE 18:3,NAE,18,3,1.166306692,0.00057873,0.0003108,3.069754532,0.010749948,0.384149184,1.618123298,0.00057873,3.237524079
FA 20:2;O,FA,20,2,1.042160101,0.025668343,0.054079254,1.898522795,0.080116342,1,0.924877321,0.025668343,1.590602174
NAE 18:2,NAE,18,2,1.364207652,0.000848026,0.002175602,2.503458444,0.013273348,1,1.323922508,0.000848026,3.071590934
NAE 18:1,NAE,18,1,1.048482075,0.010070112,0.003729604,1.992950937,0.047122515,1,0.994906194,0.010070112,1.996965689
FA 18:2;O3,FA,18,2,0.074918734,0.350638378,0.612587413,0.77016285,0.474167435,1,-0.37676456,0.350638378,0.455140551
FA 22:6,FA,22,6,0.873563858,0.184557723,0.182841702,1.410041716,0.29818738,1,0.495737846,0.184557723,0.733867777
NAE 18:0,NAE,18,0,1.138458841,0.005603327,0.001243201,2.486123016,0.036255954,1,1.313897684,0.005603327,2.251554066
SPB 20:1;O2,SPB,20,1,1.245513051,0.006652992,0.013986014,1.871162919,0.038352716,1,0.903935177,0.006652992,2.176982973
FA 18:1;O3,FA,18,1,0.195608135,0.610470014,0.866511267,0.897296272,0.71860781,1,-0.156343678,0.610470014,0.214335663
FA 22:5,FA,22,5,0.913107974,0.190140456,0.120590521,1.517023766,0.302111972,1,0.601243687,0.190140456,0.720925469
FA 22:4,FA,22,4,0.663179918,0.181689974,0.231857032,1.626363961,0.294709722,1,0.701650152,0.181689974,0.740669036
FA 20:5;O2,FA,20,5,0.469116299,0.611049198,0.612587413,1.161868527,0.71860781,1,0.216446827,0.611049198,0.213923822
FA 22:3,FA,22,3,0.779441141,0.221480973,0.27116036,1.487246139,0.338381313,1,0.572643433,0.221480973,0.654663577
FA 20:4;O2,FA,20,4,0.430251556,0.629444102,0.612587413,1.196074051,0.730898641,1,0.258306713,0.629444102,0.201042831
FA 22:2,FA,22,2,0.945600637,0.191179314,0.189277389,1.296939423,0.302565232,1,0.375111096,0.191179314,0.718559101
FA 20:3;O2,FA,20,3,0.166472133,0.380938638,0.778865579,0.448127197,0.501961787,1,-1.158019807,0.380938638,0.419144976
FA 22:1,FA,22,1,0.623483441,0.31689357,0.463403263,1.220801544,0.439103646,1,0.287828692,0.31689357,0.499086573
13-Docosenamide,13-Docosenamide,,,0.795901893,0.133066112,0.151981352,1.220424283,0.232386013,1,0.287382791,0.133066112,0.875932532
NAE 19:0,NAE,19,0,0.873431737,0.273457135,0.147648589,1.486815237,0.398576672,1,0.572225378,0.273457135,0.563110741
FA 22:6;O,FA,22,6,0.537115407,0.244154061,0.396891997,1.34548817,0.363583637,1,0.428129707,0.244154061,0.612336048
CAR 12:0,CAR,12,0,0.945600619,0.053995485,0.054079254,1.7230128,0.129087853,1,0.784933419,0.053995485,1.267642551
FA 22:5;O,FA,22,5,0.790311914,0.080704759,0.151981352,1.532438884,0.168017063,1,0.615829538,0.080704759,1.093100854
NAE 20:5,NAE,20,5,1.383862411,0.001011911,0.006488264,2.067146147,0.014212756,1,1.047640391,0.001011911,2.994857511
FA 22:4;O,FA,22,4,0.612457902,0.696555468,0.535819736,0.802523236,0.789855558,1,-0.317384931,0.696555468,0.157044294
NAE 20:4,NAE,20,4,1.21066228,0.028297405,0.054079254,1.41243563,0.084686665,1,0.49818512,0.028297405,1.548253387
FA 22:3;O,FA,22,3,0.157045047,0.36546845,0.335664336,0.556457084,0.486766168,1,-0.84565767,0.36546845,0.437150109
NAE 20:3,NAE,20,3,0.989112654,0.005138272,0.001243201,1.848964845,0.034704391,1,0.886717794,0.005138272,2.289182951
FA 20:4;O3,FA,20,4,0.112949432,0.946932217,1,0.976733169,0.963298947,1,-0.033963604,0.946932217,0.023681107
NAE 20:2,NAE,20,2,1.153477679,0.050067052,0.054079254,3.991814001,0.123974428,1,1.9970445,0.050067052,1.300447976
FA 20:3;O3,FA,20,3,0.542587814,0.479221019,0.694327894,1.137531193,0.593504187,1,0.185906107,0.479221019,0.319464142
NAE 20:1,NAE,20,1,1.379933258,0.009540778,0.009324009,2.823102148,0.045530508,1,1.497281331,0.009540778,2.020416211
FA 24:6,FA,24,6,0.988990849,0.183754498,0.117883757,1.638403308,0.297556379,1,0.712290534,0.183754498,0.73576202
NAE 20:0,NAE,20,0,0.900820615,0.129400553,0.223899116,1.681984267,0.228158465,1,0.750164211,0.129400553,0.888063867
FA 24:5,FA,24,5,0.761985624,0.126363338,0.120590521,1.767569358,0.224403859,1,0.821766826,0.126363338,0.89837891
FA 24:4,FA,24,4,0.663316312,0.312334349,0.189277389,1.406811122,0.435716993,1,0.492428645,0.312334349,0.505380251
FA 24:3,FA,24,3,0.496120528,0.613579569,0.778865579,1.123444529,0.720213055,1,0.167928892,0.613579569,0.21212911
FA 24:2,FA,24,2,0.947004618,0.233151854,0.189277389,1.203133379,0.352339157,1,0.266796588,0.233151854,0.632361126
NAE 21:2,NAE,21,2,0.827410401,0.347086798,0.151981352,1.432419691,0.470979628,1,0.518454256,0.347086798,0.459561905
NAE 21:1,NAE,21,1,1.010921655,0.100862852,0.093045059,1.989894601,0.192683903,1,0.992692018,0.100862852,0.996268755
FA 20:3;O4,FA,20,3,0.041504744,0.491610294,0.778865579,0.870675922,0.604607287,1,-0.199792268,0.491610294,0.308379031
ST 27:1;O,ST,27,1,1.48255199,0.008602275,0.020512821,1.251212861,0.043397598,1,0.323327247,0.008602275,2.065386695
CAR 14:1,CAR,14,1,0.991103262,0.006879287,0.009324009,2.171634672,0.038825565,1,1.118781423,0.006879287,2.162456575
CAR 14:0,CAR,14,0,1.041828195,0.039909929,0.04009324,2.067757475,0.106772019,1,1.048066983,0.039909929,1.398919042
NAE 22:5,NAE,22,5,1.169747902,0.038596277,0.020512821,4.310781651,0.104159386,1,2.107949489,0.038596277,1.41345458
NAE 22:4,NAE,22,4,1.075631282,0.027383334,0.054079254,2.430187373,0.082864004,1,1.281067553,0.027383334,1.562513679
NAE 22:2,NAE,22,2,1.123508206,0.063434849,0.028904429,3.454806854,0.143015104,1,1.788605057,0.063434849,1.197672088
DG 17:0,DG,17,0,0.860564627,0.236588508,0.396891997,1.414587317,0.355313969,1,0.500381232,0.236588508,0.626006354
FA 22:3;O3,FA,22,3,0.272201255,0.963394642,0.778865579,1.007821742,0.973635141,1,0.011240486,0.963394642,0.016195773
ST 28:1;O,ST,28,1,0.192399919,0.729579307,0.612587413,1.108375183,0.810935273,1,0.148446314,0.729579307,0.136927492
FA 26:5,FA,26,5,0.759202287,0.372382889,0.27116036,1.262798246,0.492789348,1,0.336624162,0.372382889,0.429010283
CAR 15:0,CAR,15,0,1.423845967,0.014281859,0.0003108,4.304901015,0.057499603,0.384149184,2.105980065,0.014281859,1.845215251
SPB 24:0;O2,SPB,24,0,0.407361046,0.753888601,0.396891997,0.914071936,0.829378308,1,-0.129620387,0.753888601,0.122692824
Dioctyl phthalate (also known as the production of plastic),Dioctyl,,,0.768467439,0.366632647,0.955089355,1.271822641,0.487703907,1,0.346897497,0.366632647,0.435768866
ST 24:1;O4,ST,24,1,0.538746881,0.354185873,0.384993546,1.241775958,0.478441245,1,0.312404905,0.354185873,0.450768765
NATau 18:0,NATau,18,0,1.117805952,0.013093699,0.013986014,3.899012053,0.054687185,1,1.963108615,0.013093699,1.882937649
CAR 16:3,CAR,16,3,0.928157194,0.06088186,0.028904429,1.685362625,0.1397786,1,0.753059037,0.06088186,1.215512091
CAR 16:2,CAR,16,2,0.045308698,0.5110133,0.866511267,0.786296007,0.622891951,1,-0.346855567,0.5110133,0.291567797
FA 22:3;O4,FA,22,3,0.105726261,0.817144372,0.778865579,0.952443662,0.879782617,1,-0.070294337,0.817144372,0.087701206
ST 29:1;O,ST,29,1,0.549228037,0.164392267,0.231857032,1.561173424,0.274579516,1,0.642630809,0.164392267,0.784118615
CAR 16:1,CAR,16,1,0.466533414,0.053651484,0.04009324,2.77304105,0.129014075,1,1.471468973,0.053651484,1.270418258
CAR 16:0,CAR,16,0,1.273839677,0.003450994,0.002175602,3.163284783,0.029655349,1,1.661423444,0.003450994,2.462055786
FA 28:7,FA,28,7,0.166691162,0.400325945,0.612587413,0.864193065,0.519750912,1,-0.210574442,0.400325945,0.397586262
CAR 17:0,CAR,17,0,0.932125738,0.000687364,0.003729604,2.45827358,0.011178715,1,1.297645481,0.000687364,3.16281301
CAR 18:3,CAR,18,3,0.978036355,0.06124769,0.054079254,2.287719269,0.140189156,1,1.193910027,0.06124769,1.212910288
MG 22:4,MG,22,4,0.786844279,0.046997882,0.093861694,1.778903658,0.119525477,1,0.830988379,0.046997882,1.327921715
CAR 18:2,CAR,18,2,1.03253233,0.031846016,0.055977451,2.635186514,0.091326394,1,1.397905077,0.031846016,1.496944893
CAR 18:1,CAR,18,1,1.05679628,0.010766618,0.013986014,2.371565658,0.049470408,1,1.24583981,0.010766618,1.967920696
FA 28:6;O,FA,28,6,0.706705513,0.168328672,0.04009324,1.408454151,0.280019164,1,0.494112601,0.168328672,0.773841902
CAR 18:0,CAR,18,0,0.929886414,0.021067925,0.009324009,1.906725428,0.072132839,1,0.931097108,0.021067925,1.676378246
NATau 22:6,NATau,22,6,0.911574569,0.02321788,0.04009324,2.487063796,0.075918783,1,1.314443515,0.02321788,1.634177435
LPE O-16:2,LPE,16,2,1.223054908,0.019587366,0.028904429,1.784544056,0.070173867,1,0.835555518,0.019587366,1.708023965
LPE O-16:1,LPE,16,1,1.037944811,0.087865125,0.182841702,1.341291675,0.176300803,1,0.423622998,0.087865125,1.056183467
LPE O-16:0,LPE,16,0,1.056778767,0.104111435,0.093045059,1.349258544,0.195746991,1,0.432166823,0.104111435,0.982501568
CAR 19:0,CAR,19,0,1.628374321,0.007644983,0.002085412,3.018722425,0.040978247,1,1.593938105,0.007644983,2.116623455
"Cyclohexasiloxane, dodecamethyl- (also known as chemical regent)","Cyclohexasiloxane,",,,0.19694468,0.895030464,0.861696829,0.925214035,0.930410137,1,-0.112140943,0.895030464,0.048162183
Diisodecyl phthalate (also known as the production of plastic),Diisodecyl,,,1.567986506,0.007819489,0.0003108,0.567334902,0.041480207,0.384149184,-0.817727476,0.007819489,2.106821635
LPE 16:1,LPE,16,1,1.249710919,0.023310178,0.042658104,1.826024093,0.076019473,1,0.868705801,0.023310178,1.632454405
LPE O-17:1,LPE,17,1,0.890406081,0.008200187,0.002175602,1.834553238,0.042655183,1,0.875428771,0.008200187,2.086176246
CAR 20:3,CAR,20,3,0.793314878,0.056597197,0.120590521,2.096832223,0.132740296,1,1.06821143,0.056597197,1.247205074
LPE 16:0,LPE,16,0,0.907241249,0.130695107,0.120590521,1.618486287,0.229785423,1,0.694645142,0.130695107,0.883740671
CAR 20:2,CAR,20,2,1.162729534,0.020853516,0.017268872,3.115451502,0.071796505,1,1.639441259,0.020853516,1.680820719
LPC O-14:0,LPC,14,0,1.353470726,0.001427075,0.006345705,3.437526865,0.017464012,1,1.781370988,0.001427075,2.845553073
CAR 20:1,CAR,20,1,1.122067236,0.060683805,0.147648589,2.491895202,0.139674456,1,1.317243396,0.060683805,1.216927196
CAR 20:0,CAR,20,0,1.248810245,0.012884157,0.023525599,1.924068407,0.0542516,1,0.944160092,0.012884157,1.88994399
DG 23:4,DG,23,4,0.173939277,0.873585773,0.602200006,0.983442328,0.9158202,1,-0.024087644,0.873585773,0.058694447
LPE O-18:3,LPE,18,3,0.704686226,0.00799943,0.013986014,1.874328798,0.042073596,1,0.906374055,0.00799943,2.096940981
LPE O-18:2,LPE,18,2,1.169137211,0.053121167,0.055977451,1.404160464,0.129014075,1,0.489707813,0.053121167,1.274732393
LPE O-18:1,LPE,18,1,0.987976581,0.138631209,0.093045059,1.296676278,0.239391634,1,0.374818348,0.138631209,0.858138988
ST 27:1;O;S,ST,27,1,0.668804459,0.002231566,0.003729604,2.004266824,0.022665141,1,1.003074584,0.002231566,2.651390212
LPE 17:0,LPE,17,0,0.901865552,0.00430773,0.005905206,2.131542356,0.030972927,1,1.091897724,0.00430773,2.365751538
LPE O-18:0,LPE,18,0,1.11040722,0.055658213,0.020512821,1.486760552,0.131688656,1,0.572172315,0.055658213,1.254470742
ST 27:0;O;S,ST,27,0,0.491747185,0.969685358,0.231857032,1.00868389,0.977594701,1,0.012474121,0.969685358,0.013369162
LPC 14:0/0:0,LPC,14,0,0.897427769,0.080101278,0.151981352,2.380209871,0.167238478,1,1.251088786,0.080101278,1.096360557
CAR 22:6,CAR,22,6,0.789587711,0.080746064,0.055319242,2.022264724,0.168017063,1,1.015971865,0.080746064,1.092878636
DG 24:2,DG,24,2,1.517766894,0.003398362,0.003729604,2.528028366,0.029655349,1,1.338012652,0.003398362,2.468730332
LPE 18:2,LPE,18,2,1.267324862,0.026749288,0.032123288,1.404143193,0.081837709,1,0.489690068,0.026749288,1.572687773
NATau 24:0,NATau,24,0,1.579803103,0.001198307,0.001243201,1.516248628,0.015756467,1,0.60050634,0.001198307,2.921431782
ST 28:2;O;S,ST,28,2,1.515667192,0.000945475,0.002144024,1.668628859,0.013944825,1,0.738663103,0.000945475,3.024349812
FA 32:1,FA,32,1,0.290212476,0.293685441,0.535819736,1.223212401,0.422087219,1,0.290674938,0.293685441,0.532117582
LPE 18:1,LPE,18,1,0.785903495,0.005724771,0.013986014,2.145579576,0.036255954,1,1.101367409,0.005724771,2.242241865
ST 28:1;O;S,ST,28,1,0.754205246,0.013733576,0.000621601,1.695423217,0.056022113,0.768298368,0.761645449,0.013733576,1.862216354
LPE 18:0,LPE,18,0,1.10985721,0.024580679,0.005905206,1.749738002,0.078303401,1,0.807138916,0.024580679,1.609406119
LPC O-16:1,LPC,16,1,0.922354973,0.03126401,0.020512821,1.788149602,0.090553568,1,0.838467442,0.03126401,1.504955319
LPG 16:1,LPG,16,1,0.427949657,0.719302823,0.694327894,1.10152417,0.80312402,1,0.139501152,0.719302823,0.143088235
LPC 15:0/0:0,LPC,15,0,1.096703314,0.111374504,0.002175602,5.71548095,0.204241672,1,2.514874904,0.111374504,0.953214217
LPC O-16:0,LPC,16,0,0.979638448,0.479786169,0.031662435,1.219961722,0.593609314,1,0.286835882,0.479786169,0.318952276
CAR 22:1,CAR,22,1,1.098116267,0.034694959,0.054079254,2.169170618,0.097020293,1,1.117143534,0.034694959,1.45973362
LPG 16:0,LPG,16,0,0.587558534,0.507840047,0.463403263,1.22686951,0.619815991,1,0.294981812,0.507840047,0.294273054
LPE O-20:3,LPE,20,3,1.345728804,0.023492072,0.023901798,1.573615198,0.076281822,1,0.654082796,0.023492072,1.62907867
TG 24:0|TG 8:0_8:0_8:0,TG,24,0,1.224211053,0.011170146,0.013986014,0.861008893,0.05048968,1,-0.215899957,0.011170146,1.951941153
LPC 16:3,LPC,16,3,1.117472805,0.071799434,0.151981352,2.053462756,0.155514128,1,1.038058781,0.071799434,1.143878982
LPE O-20:2,LPE,20,2,1.209554242,0.066181865,0.023901798,1.443367445,0.147388802,1,0.529438621,0.066181865,1.179261
SL 26:0;O,SL,26,0,1.482992953,0.014962979,0.009155378,1.971216249,0.059310728,1,0.979086054,0.014962979,1.824981945
LPE O-20:1,LPE,20,1,0.690547294,0.390379293,0.280963481,1.141602221,0.509512995,1,0.191060047,0.390379293,0.408513227
ST 29:1;O;S,ST,29,1,1.38285526,0.013554738,0.017571067,1.47401414,0.055659988,1,0.559750364,0.013554738,1.867908868
LPC 16:1/0:0,LPC,16,1,0.85492509,0.110214292,0.231857032,1.545150405,0.203017682,1,0.627747277,0.110214292,0.957762085
LPE 19:0,LPE,19,0,0.878383479,0.003735813,0.009324009,2.1527798,0.02973103,1,1.106200759,0.003735813,2.427614843
LPE O-20:0,LPE,20,0,1.157051796,0.042675334,0.04009324,1.331685594,0.111279985,1,0.413253508,0.042675334,1.369823072
LPS 16:0,LPS,16,0,0.515210939,0.622456485,0.694327894,1.10729898,0.72636764,1,0.147044815,0.622456485,0.205891004
LPC 16:0/0:0,LPC,16,0,0.949930859,0.017536691,0.002175602,1.839354302,0.065227946,1,0.879199402,0.017536691,1.756052361
LPE 20:5,LPE,20,5,1.142652833,0.076834305,0.117883757,1.376101504,0.162429845,1,0.46058689,0.076834305,1.114444831
LPE 20:4,LPE,20,4,0.688908133,0.003945305,0.009324009,2.03361027,0.03047748,1,1.024043221,0.003945305,2.403919437
LPC 15:1,LPC,15,1,0.99442216,0.151483999,0.054079254,1.962181085,0.256021657,1,0.97245819,0.151483999,0.819633238
LPE 20:3,LPE,20,3,1.257408025,0.042483714,0.093861694,1.48019457,0.111014525,1,0.565786829,0.042483714,1.371777524
DG 26:2,DG,26,2,0.802844716,0.218506635,0.324838613,1.468842347,0.334250248,1,0.554679557,0.218506635,0.660535371
LPE 20:2,LPE,20,2,0.892984111,0.003022845,0.003729604,1.926658801,0.027882362,1,0.946101102,0.003022845,2.519584113
FA 34:1,FA,34,1,0.057179669,0.542900911,0.866511267,1.126928871,0.654659049,1,0.172396459,0.542900911,0.26527943
LPE 20:1,LPE,20,1,1.40443161,0.003450368,0.002175602,1.529274694,0.029655349,1,0.612847573,0.003450368,2.462134523
LPC O-18:2,LPC,18,2,0.921245749,0.07050957,0.120590521,1.277260386,0.154463952,1,0.353052667,0.07050957,1.151751935
LPG 18:2,LPG,18,2,0.764905153,0.295219635,0.384993546,1.179307549,0.422328089,1,0.237940004,0.295219635,0.529854761
LPC 17:1/0:0,LPC,17,1,1.059713416,0.022126673,0.013986014,1.961539262,0.07431676,1,0.971986212,0.022126673,1.655083883
LPE 20:0,LPE,20,0,1.268101183,0.004335207,0.003729604,1.887721118,0.030972927,1,0.916645644,0.004335207,2.362990113
LPC O-18:1,LPC,18,1,1.131799537,0.330569101,0.023525599,1.366835019,0.455499898,1,0.450839116,0.330569101,0.480737744
CAR 24:2,CAR,24,2,0.830298983,0.081103812,0.093861694,1.671119012,0.168241838,1,0.740814482,0.081103812,1.090958731
LPG 18:1,LPG,18,1,0.496888014,0.626047308,0.866511267,1.127087475,0.728620031,1,0.17259949,0.626047308,0.203392848
LPC 17:0/0:0,LPC,17,0,1.237584662,0.00298843,0.003729604,3.421257163,0.027882362,1,1.77452655,0.00298843,2.52455698
CAR 24:1,CAR,24,1,0.705624342,0.408255186,0.535819736,1.243291677,0.527827834,1,0.314164793,0.408255186,0.38906829
LPG 18:0,LPG,18,0,1.126876678,0.060369856,0.072593148,1.801529649,0.139471293,1,0.849222396,0.060369856,1.219179863
LPC 18:3,LPC,18,0,0.976174928,0.025768473,0.055977451,2.040539654,0.08022628,1,1.028950747,0.025768473,1.588911309
Cer 34:1;O2|Cer 18:1;O2/16:0,Cer,34,1,0.942748973,0.192742953,0.335664336,1.13378182,0.303464526,1,0.181143042,0.192742953,0.715021491
LPS 18:1,LPS,18,1,0.627754107,0.112132461,0.093861694,1.432808636,0.205106492,1,0.518845938,0.112132461,0.950268648
LPC 18:1,LPC,18,1,0.784862173,0.030487101,0.028904429,1.79476353,0.089082876,1,0.843793773,0.030487101,1.515883875
VAE 16:1,VAE,16,1,0.345430321,0.726950706,0.866511267,1.093430097,0.809469435,1,0.128860992,0.726950706,0.138495037
