NO,INCHIKEY,Ontology,Platform,,,,,,,,,,,,
68,GAVRLOGPHXQBDO-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
69,BSEHZAIYCIVZNE-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
70,VLBAJURGRSJRSG-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
71,HFFPGGYSKPLKDX-UHFFFAOYSA-N,NAGly,Lipidomics,,,,,,,,,,,,
72,HBJXRRXWHSHZPU-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
73,NGBWIBDCNJVSGY-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
74,KQXDGUVSAAQARU-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
75,BOWVQLFMWHZBEF-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
76,MKYUCBXUUSZMQB-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
77,MBMBGCFOFBJSGT-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
78,OTGQIQQTPXJQRG-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
79,HTJSZHKGNMXZJN-UHFFFAOYSA-N,Sph,Lipidomics,,,,,,,,,,,,
80,LGADJSRSYLFTSG-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
81,YUFFSWGQGVEMMI-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
82,IGFLWIHPPADNDL-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
83,RWHZIKMTLJOOEH-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
84,RILVNGKQIULBOQ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
85,WTTRVKVOOJHCSN-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
86,HVGRZDASOHMCSK-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
87,VCEZPJROPJUJSF-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
88,DPUOLQHDNGRHBS-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
89,UAUDZVJPLUQNMU-KTKRTIGZSA-N,Others,Lipidomics,,,,,,,,,,,,
90,XTMXIPJCLYGTDK-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
91,ZHBVYDMSPDDAKE-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
92,FUJLYHJROOYKRA-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
93,HCZBYGSOSUWNJF-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
94,OVKKNJPJQKTXIT-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
95,TWUAXYQWPNSBQW-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
96,ZTNVCFQDUOWGNJ-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
