NO,INCHIKEY,Ontology,Platform,,,,,,,,,,,,
273,KXOHZVXBUOQTTL-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
274,SKJMUADLQLZAGH-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
275,BHGPPCIWDXQOMA-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
276,FWXJRGLCUAXNLA-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
277,FWWLDEIJAPIBES-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
278,YEJYLHKQOBOSCP-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
279,ONCLVQFEAFTXMN-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
280,KXBIHHWEAJRHHU-UHFFFAOYSA-N,SL,Lipidomics,,,,,,,,,,,,
281,NAJHAHQNQCNWOP-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
282,BAWAZBRKENFJED-UHFFFAOYSA-N,LPI,Lipidomics,,,,,,,,,,,,
283,AELHWNFBBREZDX-UHFFFAOYSA-N,PA,Lipidomics,,,,,,,,,,,,
284,IJFVSSZAOYLHEE-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
285,SXPRAKSDHOEHIG-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
286,CPYYIMXJKFANHS-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
287,QPAFOIUQNGXTQF-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
288,QZVLGRAYADVOSR-UHFFFAOYSA-N,PMeOH,Lipidomics,,,,,,,,,,,,
289,OOMMBXXUNFZQKI-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
290,GYMMHHODMBOFGD-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
291,LLASOHSVIUCPAI-UHFFFAOYSA-N,NAGly,Lipidomics,,,,,,,,,,,,
292,YVMFSKMDQVDKIS-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
293,BLZVZPYMHLXLHG-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
294,AJMZUFBKADIAKC-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
295,SAEPUUXWQQNLGN-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
296,HODJWNWCVNUPAQ-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
297,RZKCYEISOFRALJ-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
298,BBJQPKLGPMQWBU-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
299,CAPHXUZAFHNJAV-UHFFFAOYSA-N,LPI,Lipidomics,,,,,,,,,,,,
300,RWMLFFULUMHLPQ-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
301,VVROVHFWHBBWFZ-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
302,SCNLPRDASXIFJK-UHFFFAOYSA-N,PA,Lipidomics,,,,,,,,,,,,
303,VJSBNBBOSZJDKB-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
304,GGSZJXUUQMDAST-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
305,SPBHPXJUCMIVGQ-UHFFFAOYSA-N,LPI,Lipidomics,,,,,,,,,,,,
306,HWGDKLDOTMWARD-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
307,PORPENFLTBBHSG-UHFFFAOYSA-N,PA,Lipidomics,,,,,,,,,,,,
308,ZPIHKUPAGJAVQL-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
309,ZJVVOYPTFQEGPH-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
310,AAEVAJRFOCLWAW-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
311,NAPRBXJZWHAQJL-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
312,XBJYXKVYQSKLHM-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
313,IGFLMGKVDGKBEZ-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
314,UAJRAUSLFGLXKS-UHFFFAOYSA-N,NAGly,Lipidomics,,,,,,,,,,,,
315,PRJBVVOFHKTECB-UHFFFAOYSA-N,PMeOH,Lipidomics,,,,,,,,,,,,
316,KCPPZBLZEWAZLZ-UHFFFAOYSA-N,NAGly,Lipidomics,,,,,,,,,,,,
317,FRWWCDHJRWYDOU-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
318,CNEFYRLODUDZLK-UHFFFAOYSA-N,PMeOH,Lipidomics,,,,,,,,,,,,
319,MCQLDZPIXYWFDO-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
320,SHGDZPJYRJJAQG-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
321,YTBITHSVLHBAPO-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
322,FYMCIBHUFSIWCE-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
323,QHPYSHVSWAOLHS-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
324,AKCNIDZVBDSVNW-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
325,NAACPBBQTFFYQB-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
326,WAYLDHLWVYQNSQ-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
327,OTBWOSZDBGKQNH-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
328,RJECHNNFRHZQKU-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
329,WNHPHKSCRUXBHN-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
330,AGKHRSIOVRQNQL-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
331,YQMUIZXKIKXZHD-UHFFFAOYSA-N,PA,Lipidomics,,,,,,,,,,,,
332,XXICPJXOTUXOGD-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
333,QXSTVVHZCWJIBU-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
334,MPKRBTDYIWVMHH-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
335,MLHVKKWOXVSPDG-UHFFFAOYSA-N,PEtOH,Lipidomics,,,,,,,,,,,,
336,OPVZUEPSMJNLOM-UHFFFAOYSA-N,PA,Lipidomics,,,,,,,,,,,,
337,AZMHJTIGIHIMFP-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
338,HJYFPBYXTPMOIB-UHFFFAOYSA-N,VAE,Lipidomics,,,,,,,,,,,,
339,FDULCEKAOVWBTQ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
340,SBRKKSKOGMIDMB-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
341,ALFGKGZXMIJVQE-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
342,RPTUKVYGSPDHGQ-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
343,CJZUQOHHSYTBTD-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
344,RJAODURPPPWOES-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
345,CITHEXJVPOWHKC-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
346,CJROVRTUSFQVMR-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
347,DWTYTVTUGPAKRN-UHFFFAOYSA-N,CASE,Lipidomics,,,,,,,,,,,,
348,OEROUXQFUNUVIP-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
349,WPHXDIQHDVJFHP-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
350,PXPCKHZLDQZOMG-UHFFFAOYSA-N,PMeOH,Lipidomics,,,,,,,,,,,,
351,PGPMCWZMPPZJML-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
352,LBDXVTOFXXDOGH-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
353,CZOSTDZGCCEZTJ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
354,REGWCKUERDFMJQ-UHFFFAOYSA-N,NAGly,Lipidomics,,,,,,,,,,,,
355,XZFUGMCJZFRBKF-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
356,RXLZIONNUYYHHW-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
357,QZGYPUQNTDWNBR-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
358,SLKDGVPOSSLUAI-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
359,IBNHQPBEYCSFGY-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
360,LZQPVJOYAPSQNA-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
361,HZUAPDDXDDVFOX-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
362,XCTIWOKWRYGEOE-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
363,JERIBPHBOOFETI-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
364,QWXGXDFYLSOKRF-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
365,ARRNWLFGLUXSFU-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
366,VKKLYBSFAQGKDO-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
367,ZAXBYLHGBBMAAY-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
368,JFCWDSVCBUBNNJ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
369,GIMFDENDLRGOPW-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
370,TXNOTJVZNDGTOR-UHFFFAOYSA-N,SISE,Lipidomics,,,,,,,,,,,,
371,REFJKOQDWJELKE-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
372,WZKHHBHWAXZUGV-UHFFFAOYSA-N,PA,Lipidomics,,,,,,,,,,,,
373,VKHXVQHJSQUHDB-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
374,DQVQZGCXZIRZIH-UHFFFAOYSA-N,Cer,Lipidomics,,,,,,,,,,,,
375,LHGMPHPBDXDKNZ-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
376,LJVXDBWIBQQKFU-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
377,PVQVBWDPYRLAQO-UHFFFAOYSA-N,PEtOH,Lipidomics,,,,,,,,,,,,
378,XTJSTVBHURXVFG-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
379,ZVVYJAAMWXATNY-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
380,RYPRHPLEPBYJJE-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
381,HEASGCOZOMIKFU-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
382,RWKUXQNLWDTSLO-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
383,ALRSZPZYOVTCDU-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
384,XGGMHQYOVYWRLV-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
385,KBQMZLDAGIUCLR-UHFFFAOYSA-N,CASE,Lipidomics,,,,,,,,,,,,
386,QHZIGNLCLJPLCU-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
387,LJARBVLDSOWRJT-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
388,XJCOWHHMMBKIKB-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
389,ZPZOLGIFBSLYPT-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
390,GXRODSBSDBCXSO-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
391,GLAIFIDZABIAJR-UHFFFAOYSA-N,PMeOH,Lipidomics,,,,,,,,,,,,
392,GIEHMANYVZHXTR-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
393,SSRRIJSEUKHYFB-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
394,ISXPJSRNZVJVPZ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
395,SMIGULGEODNQEX-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
396,QONZHKTZKTUIMU-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
397,HBZNVZIRJWODIB-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
398,FDQGSTMMGFGRFB-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
399,VOEVEGPMRIYYKC-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
400,OIGUQBCFZYAMRQ-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
401,ZHQZCNLAGDVUJY-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
402,XZRYIYLXFDDCGD-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
403,XIOSLYSGEKZOBJ-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
404,FHQVHHIBKUMWTI-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
405,XOLZNHXNFMEUGA-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
406,GHQNERCMPIDAAU-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
407,PGGZDZKDRDWQDU-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
408,IUYWTEBXZWNWBI-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
409,RPJZYOHZALDGKI-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
410,JSCQQTZMIJRPQQ-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
411,BXQUYBIIGCTQFV-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
412,RCPZPCILTQJKPA-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
413,JARMGWMDQOCXQU-UHFFFAOYSA-N,SISE,Lipidomics,,,,,,,,,,,,
414,NOFOTAHTYLXZNV-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
415,HOTZMPIFTDOVDL-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
416,LLHISNQVRRYJGL-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
417,BGMDRQQLOPNMDN-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
418,VNLCVOLSOFVAHD-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
419,CHQZLJBVJOOEOG-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
420,BIABMEZBCHDPBV-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
421,YITZQGLIICATLN-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
422,BVIZSFASCONFQJ-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
423,YSGVSTJGBYXXIM-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
424,XYSXTPSWFGGRMW-UHFFFAOYSA-N,PEtOH,Lipidomics,,,,,,,,,,,,
425,JLXAUMYPRYNHFL-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
426,FUKISTPVIDDUQU-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
427,BRIOFUFMCMRWIZ-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
428,CNKNQKFREZNPNM-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
429,CFANDHZPOSNKNO-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
430,MFRYNWLFTOIAAB-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
431,MFRYWKSWYSTLOB-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
432,RYRPZNUOTUEFMG-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
433,GCHHFAWECQPLHL-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
434,GPWHCUUIQMGELX-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
435,UAKUCJGIIYSFFK-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
436,LGFRBARRRZCSBV-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
437,QMKBWBSGJUWDHU-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
438,LKQLRGMMMAHREN-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
439,FVPVXDBJCKOAGK-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
440,QIBZFHLFHCIUOT-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
441,PKPZZNIIECIREJ-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
442,HHUPDMAQIBSEGQ-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
443,KILNVBDSWZSGLL-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
444,CXGZFWPMXPAZEA-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
445,BCWWDWIJORDPRN-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
446,SUCZWPZZJOWHRI-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
447,OJVDBCJIRGMHNK-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
448,HANCQHITNUBWIC-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
449,NQIMLWFRWGTTOZ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
450,SSCDRSKJTAQNNB-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
451,GAJQVTIAMLEKGK-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
452,GKAFCSRKMWFPSJ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
453,NWMMAEHYJLTEAJ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
454,PGZSAELMQZLYOA-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
455,MWRBNPKJOOWZPW-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
456,AXCLECQLCBWNLZ-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
457,JWHNAYUIWHGUNM-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
458,PTJBFPPEYDFAAQ-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
459,NENXUGPXZIGGAQ-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
460,YDTWOEYVDRKKCR-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
461,DGBYUHHIADYUMU-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
462,JQKOHRZNEOQNJE-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
463,IQACMFWAGALEAQ-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
464,ORNYUCOAFYJKEX-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
465,ATBOMIWRCZXYSZ-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
466,XHYKJEYIGZQINW-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
467,PRBMMYSLBDDBTJ-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
468,WVGALBKSWOUIEZ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
469,RHQLPOJVVIFVBZ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
470,IQLHTKSHLGLPMG-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
471,XMXAQPGCIBLQSB-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
472,PAZGBAOHGQRCBP-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
473,DWNHKQDVGGFONK-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
474,GZEZURLIXRQSDE-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
475,GTFLTTXDLGEBAI-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
476,AZPZOEPDYFCIDH-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
477,WLOSYGXKEULPHV-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
478,ZTZQZGHJLWFLFQ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
479,ZXLKMKXFKYCCOB-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
480,ZIIQNISLSHWERD-UHFFFAOYSA-N,CE,Lipidomics,,,,,,,,,,,,
481,ADYILQKXUHGAJF-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
482,GYAKQOJSBLLBMP-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
483,AEWIGEHKJLBBND-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
484,FJCUMLVANOXIFV-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
485,CJTMZOOUZQGAPV-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
486,ZRSVGPOZCZNLBE-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
487,QJWDAOSZZYVBJZ-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
488,SBVNTISGMCSXLX-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
489,HXUHHWPZGOIBGO-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
490,KRGBDQLFUKCQPF-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
491,RIQUZAZTFMJZDT-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
492,AAXKZWYWZDLXIS-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
493,JLPULHDHAOZNQI-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
494,RXPVDHQFHIMZPN-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
495,IEXMVEPNTXOSEP-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
496,ACCMTWPZHHWOQK-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
497,AADLTHQNYQJHQV-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
498,WCPZINGXSVBXLK-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
499,ORJGTHKBNPRQEX-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
500,WTJKGGKOPKCXLL-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
501,DOYCVWJHGDKRHP-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
502,YUQZLQVDBJKRKZ-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
503,LKJGITUOWSYFGS-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
504,PZNPLUBHRSSFHT-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
505,ZYMZKMQPPJPQHY-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
506,VHHWPJFJXPSEDR-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
507,BJNFZENODOCJEW-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
508,NYEYZZJCSHLJCF-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
509,UFFIWZRFLYGSQT-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
510,YXUHPBKHVPLAEX-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
511,YEHAZLUVAZKVRO-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
512,VXQMCPDKMGAOGH-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
513,JRBNOSBKLQCKJO-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
514,OUKDNADVOQVFAR-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
515,GZBZSCNQFXTELT-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
516,VTAJEODPKJDTAS-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
517,ZVVVJPURWHBKRQ-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
518,SPFRLTWPPAORML-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
519,SOUZQPFUXRVDGK-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
520,AMXRERGJDVUTMF-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
521,AKWGRDPPGYFWIW-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
522,OSLKKANICVMRGE-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
523,BJRRUTDOVGQXTQ-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
524,SGPSMGCUZQMTGS-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
525,PGMAUSGKQUIFJI-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
526,UITCASPZWUAJBW-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
527,RCBSPKGSZCCTLV-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
528,XHYDYOQDVMCTOJ-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
529,FSVTVWTVWNNIQX-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
530,AUKDJFXGTPIFGD-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
531,PBCMCGPSXULJSG-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
532,DAYIJQNNMKFAKB-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
533,VHFQZKMBVAFNPD-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
534,UKPNUUDYLNCIOE-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
535,DBYSGBYABPVNGO-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
536,MFLNWJCWDLDCLH-UHFFFAOYSA-N,PC,Lipidomics,,,,,,,,,,,,
537,DSNRWDQKZIEDDB-UHFFFAOYSA-N,PG,Lipidomics,,,,,,,,,,,,
538,ZIDOHGPOLSPULA-UHFFFAOYSA-N,CL,Lipidomics,,,,,,,,,,,,
539,YXSZOBWVQJIWNE-UHFFFAOYSA-N,SM,Lipidomics,,,,,,,,,,,,
540,HBNXFGQESFAPSI-UHFFFAOYSA-N,PE,Lipidomics,,,,,,,,,,,,
