name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
FA 17:1,FA,1.3733793,0.001416558,0.003729604,2.15179129,0.017464012,1,1.105538152,0.001416558
FA 19:1,FA,1.441046367,0.005136113,0.012761159,1.906566309,0.034704391,1,0.930976708,0.005136113
FA 18:3,FA,1.418193466,0.005521113,0.017571067,2.080879434,0.036255954,1,1.057193378,0.005521113
FA 18:2,FA,0.980322691,0.008871232,0.009324009,2.2693976,0.04442925,1,1.182309392,0.008871232
FA 18:4,FA,1.411062644,0.009912686,0.023901798,2.008559853,0.046763662,1,1.006161453,0.009912686
FA 18:0(2OH),FA,1.30684599,0.014744011,0.020512821,1.35728816,0.0587858,1,0.440727046,0.014744011
FA 18:4;O,FA,0.945686833,0.015395902,0.020512821,1.945454201,0.060410586,1,0.960107017,0.015395902
FA 14:1;O2,FA,1.011700879,0.018386306,0.04009324,0.492526517,0.067036796,1,-1.021726696,0.018386306
FA 14:0;O,FA,1.135066143,0.024354025,0.013986014,0.456623277,0.077983356,1,-1.130923689,0.024354025
FA 20:2;O,FA,1.042160101,0.025668343,0.054079254,1.898522795,0.080116342,1,0.924877321,0.025668343
FA 18:2;O,FA,0.859837585,0.029815964,0.054079254,1.793772916,0.087861917,1,0.842997262,0.029815964
FA 20:2,FA,0.867740833,0.031430001,0.020512821,1.81626705,0.090553568,1,0.860976341,0.031430001
FA 20:4,FA,0.609069245,0.033203969,0.072105672,1.815368399,0.093913285,1,0.860262349,0.033203969
FA 18:1;O2,FA,0.902267033,0.045298648,0.020512821,0.574464302,0.116644019,1,-0.799710849,0.045298648
Phosphate,Homogeneous non-metal compounds,1.314571291,0.006322723,0.009324009,1.19479484,0.037936337,1,0.256762912,0.006322723
Dodecane,Hydrocarbons,1.599377318,0.004382638,0.003729604,1.617270767,0.031131842,1,0.693561238,0.004382638
Tetradecane,Hydrocarbons,1.096862218,0.00822325,0.002175602,1.638844118,0.042655183,1,0.712678636,0.00822325
1-Tetradecene,Hydrocarbons,1.412748128,0.008441341,0.003729604,1.177206691,0.043032386,1,0.235367647,0.008441341
Linoleate,Lipids and lipid-like molecules,1.592899999,2.32E-06,0.0003108,2.919721034,0.00083282,0.384149184,1.545830533,2.32E-06
(EZ)-Eicosenoic acid,Lipids and lipid-like molecules,1.712041917,3.14E-06,0.0003108,2.267680899,0.00083282,0.384149184,1.181217643,3.14E-06
